序号,图片比例,分辨率,图片尺寸,提示词,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
1,1:1,1K,1024x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1756,1809,自动,0.052680,0.052946,26473,61,1m 1s,1662352,1.59 MB,data/reading-corner/images/001_1-1_1K_1024x1024_auto.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
2,1:1,1K,1024x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,1756,1809,低,0.052680,0.052946,26473,61,1m 1s,1804842,1.72 MB,data/reading-corner/images/002_1-1_1K_1024x1024_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
3,1:1,1K,1024x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",90,1756,1846,中,0.052680,0.053130,26565,60,1m,1819202,1.73 MB,data/reading-corner/images/003_1-1_1K_1024x1024_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view with raindrops on the glass, and several open books on a side table. Inviting atmosphere, soft natural light mixed with lamp light, tidy but lived-in, high detail, photorealistic.",ok,
4,1:1,1K,1024x1024,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",78,1756,1834,高,0.052680,0.053070,26535,63,1m 3s,1804187,1.72 MB,data/reading-corner/images/004_1-1_1K_1024x1024_high.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view in the background, and several open books on a side table. Inviting, lived-in atmosphere, natural materials, soft warm lighting, detailed textures, high realism.",ok,
5,1:1,2K,2048x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,3568,3621,自动,0.107040,0.107306,53653,74,1m 14s,5653401,5.39 MB,data/reading-corner/images/005_1-1_2K_2048x2048_auto.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
6,1:1,2K,2048x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",53,3568,3621,低,0.107040,0.107306,53653,74,1m 14s,6700546,6.39 MB,data/reading-corner/images/006_1-1_2K_2048x2048_low.png,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",ok,
7,1:1,2K,2048x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",75,1586,1661,中,0.047580,0.047956,23978,50,50s,6054827,5.77 MB,data/reading-corner/images/007_1-1_2K_2048x2048_medium.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft light, a green armchair, a patterned rug, a rainy window view in the background, several open books on a side table, soft shadows, inviting atmosphere, natural composition, high detail, realistic textures.",ok,
8,1:1,2K,2048x2048,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",82,3568,3650,高,0.107040,0.107450,53725,90,1m 30s,6476031,6.18 MB,data/reading-corner/images/008_1-1_2K_2048x2048_high.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view with droplets and blurred cityscape, and several open books on a side table. Inviting atmosphere, natural composition, soft ambient light, high detail, realistic textures.",ok,
9,1:1,4K,2880x2880,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",84,5930,6014,自动,0.177900,0.178320,89160,95,1m 35s,11771497,11.23 MB,data/reading-corner/images/009_1-1_4K_2880x2880_auto.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a comfortable green armchair, a patterned rug, a rainy window view with raindrops and blurred city lights outside, and several open books on a side table. Inviting atmosphere, soft natural tones, intimate and lived-in, high detail.",ok,
10,1:1,4K,2880x2880,"A cozy reading corner in a small apartment, with a wooden bookshelf, warm floor lamp, green armchair, patterned rug, rainy window view, several open books on a side table, realistic interior photography, soft shadows, inviting atmosphere.",78,5930,6008,低,0.177900,0.178290,89145,100,1m 40s,10470151,9.99 MB,data/reading-corner/images/010_1-1_4K_2880x2880_low.png,"A cozy reading corner in a small apartment, realistic interior photography. Include a wooden bookshelf filled with books, a warm floor lamp casting soft shadows, a green armchair, a patterned rug, a rainy window view in the background, and several open books on a side table. Inviting atmosphere, natural textures, soft ambient light, well-composed interior scene.",ok,
