序号,图片比例,分辨率,图片尺寸,提示词,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
1,1:1,1K,1024x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,1756,1831,自动,0.052680,0.053056,26528,236,3m 56s,2045443,1.95 MB,data/floating-city/images/001_1-1_1K_1024x1024_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
2,1:1,1K,1024x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",96,1756,1852,低,0.052680,0.053160,26580,63,1m 3s,1945326,1.86 MB,data/floating-city/images/002_1-1_1K_1024x1024_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition. High detail, photorealistic, dramatic yet serene, expansive horizon, immersive sci-fi cityscape.",ok,
3,1:1,1K,1024x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",112,7024,7136,中,0.210720,0.211280,105640,209,3m 29s,1971604,1.88 MB,data/floating-city/images/003_1-1_1K_1024x1024_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers with intricate architectural details rise from floating platforms, suspended gardens woven between structures, and small transport pods moving between buildings. People walk across transparent sky bridges. The water below reflects the city and sunset sky with shimmering highlights. Orange and violet clouds fill the sky, with realistic lighting, atmospheric haze, and a balanced composition. Ultra-detailed, photorealistic, expansive sci-fi cityscape, cinematic depth, high dynamic range.",ok,
4,1:1,1K,1024x1024,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",110,1756,1866,高,0.052680,0.053230,26615,64,1m 4s,2047065,1.95 MB,data/floating-city/images/004_1-1_1K_1024x1024_high.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from multiple floating platforms, integrated suspended gardens with lush greenery, small sleek transport pods moving between buildings, and people walking across transparent sky bridges. The water below reflects the city lights and sunset colors with shimmering highlights. Orange and violet clouds fill the sky, with intricate architectural details, realistic lighting, atmospheric haze, and a balanced, visually compelling composition. Ultra-detailed, photorealistic, cinematic concept art.",ok,
5,1:1,2K,2048x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3568,3643,自动,0.107040,0.107416,53708,75,1m 15s,7307399,6.97 MB,data/floating-city/images/005_1-1_2K_2048x2048_auto.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
6,1:1,2K,2048x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3568,3643,低,0.107040,0.107416,53708,75,1m 15s,6954590,6.63 MB,data/floating-city/images/006_1-1_2K_2048x2048_low.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
7,1:1,2K,2048x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",85,3568,3653,中,0.107040,0.107466,53733,191,3m 11s,7459403,7.11 MB,data/floating-city/images/007_1-1_2K_2048x2048_medium.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, dramatic yet serene.",ok,
8,1:1,2K,2048x2048,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",75,3568,3643,高,0.107040,0.107416,53708,78,1m 18s,6843329,6.53 MB,data/floating-city/images/008_1-1_2K_2048x2048_high.png,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",ok,
9,1:1,4K,2880x2880,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",101,5930,6031,自动,0.177900,0.178406,89203,87,1m 27s,12402211,11.83 MB,data/floating-city/images/009_1-1_4K_2880x2880_auto.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset. Layered glass towers rise from hovering platforms, with suspended gardens cascading between structures. Small sleek transport pods move between buildings. People walk across transparent sky bridges. Sunlight creates reflections shimmering on the water below. The sky is filled with orange and violet clouds. Intricate architectural details, realistic lighting, atmospheric haze, balanced composition, ultra-detailed, photorealistic sci-fi concept art.",ok,
10,1:1,4K,2880x2880,"A cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, and a balanced composition.",83,5930,6013,低,0.177900,0.178316,89158,92,1m 32s,12365376,11.79 MB,data/floating-city/images/010_1-1_4K_2880x2880_low.png,"Cinematic wide-angle view of a futuristic floating city above a calm ocean at sunset, with layered glass towers, suspended gardens, small transport pods moving between buildings, people walking across transparent sky bridges, reflections shimmering on the water below, orange and violet clouds in the sky, intricate architectural details, realistic lighting, atmospheric haze, balanced composition, highly detailed, photorealistic, expansive scene",ok,
