序号,图片比例,分辨率,图片尺寸,输入Token量,输出Token量,总Token量,质量参数,估算金额USD,控制台实际花费,控制台Quota,请求时长秒,请求时长,生成文件大小Bytes,生成文件大小,图片文件,修订提示词,状态,错误
1,1:1,1K,1024x1024,43,196,239,自动,0.005880,0.006096,3048,18,18s,1247132,1.19 MB,data/apple/images/001_1-1_1K_1024x1024_auto.png,"A realistic photo-style image of a single red apple sitting on a white table, soft natural light, plain minimal background, clean composition, high detail, subtle shadows, studio-like realism.",ok,
2,1:1,1K,1024x1024,38,196,234,低,0.005880,0.006070,3035,17,17s,1288943,1.23 MB,data/apple/images/002_1-1_1K_1024x1024_low.png,"A single red apple sitting on a clean white table, soft natural light, plain minimal background, realistic photo style, high detail, natural shadows, centered composition.",ok,
3,1:1,1K,1024x1024,26,196,222,中,0.005880,0.006010,3005,20,20s,1343672,1.28 MB,data/apple/images/003_1-1_1K_1024x1024_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
4,1:1,1K,1024x1024,40,196,236,高,0.005880,0.006080,3040,21,21s,1387327,1.32 MB,data/apple/images/004_1-1_1K_1024x1024_high.png,"A realistic photo of a single red apple sitting on a white table, soft natural light, plain minimal background, clean composition, high detail, photorealistic style.",ok,
5,1:1,2K,2048x2048,26,397,423,自动,0.011910,0.012040,6020,31,31s,4674849,4.46 MB,data/apple/images/005_1-1_2K_2048x2048_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
6,1:1,2K,2048x2048,33,397,430,低,0.011910,0.012076,6038,25,25s,5052006,4.82 MB,data/apple/images/006_1-1_2K_2048x2048_low.png,"A single red apple placed on a white table, soft natural light, plain background, realistic photo style, high detail, clean composition.",ok,
7,1:1,2K,2048x2048,37,3568,3605,中,0.107040,0.107226,53613,59,59s,4815603,4.59 MB,data/apple/images/007_1-1_2K_2048x2048_medium.png,"A realistic photo of a single red apple sitting on a white table, soft natural light, plain minimal background, clean composition, high detail, photographic realism.",ok,
8,1:1,2K,2048x2048,26,397,423,高,0.011910,0.012040,6020,27,27s,4765698,4.54 MB,data/apple/images/008_1-1_2K_2048x2048_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
9,1:1,4K,2880x2880,36,659,695,自动,0.019770,0.019950,9975,41,41s,9635301,9.19 MB,data/apple/images/009_1-1_4K_2880x2880_auto.png,"A realistic photo of a single red apple on a white table, soft natural light, plain background, minimal composition, high detail, realistic photography style.",ok,
10,1:1,4K,2880x2880,26,659,685,低,0.019770,0.019900,9950,46,46s,8687833,8.29 MB,data/apple/images/010_1-1_4K_2880x2880_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
11,1:1,4K,2880x2880,26,659,685,中,0.019770,0.019900,9950,39,39s,9621894,9.18 MB,data/apple/images/011_1-1_4K_2880x2880_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
12,1:1,4K,2880x2880,26,659,685,高,0.019770,0.019900,9950,39,39s,9148509,8.72 MB,data/apple/images/012_1-1_4K_2880x2880_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
13,3:2,1K,1536x1024,26,158,184,自动,0.004740,0.004870,2435,17,17s,1804505,1.72 MB,data/apple/images/013_3-2_1K_1536x1024_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
14,3:2,1K,1536x1024,26,158,184,低,0.004740,0.004870,2435,17,17s,1772191,1.69 MB,data/apple/images/014_3-2_1K_1536x1024_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
15,3:2,1K,1536x1024,42,158,200,中,0.004740,0.004950,2475,17,17s,1772158,1.69 MB,data/apple/images/015_3-2_1K_1536x1024_medium.png,"A realistic photo style image of a single red apple on a white table, soft natural light, plain minimal background, clean composition, high detail, subtle shadows, studio-quality realism.",ok,
16,3:2,1K,1536x1024,26,158,184,高,0.004740,0.004870,2435,18,18s,1853915,1.77 MB,data/apple/images/016_3-2_1K_1536x1024_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
17,3:2,2K,2048x1360,26,211,237,自动,0.006330,0.006460,3230,28,28s,3308808,3.16 MB,data/apple/images/017_3-2_2K_2048x1360_auto.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
18,3:2,2K,2048x1360,26,211,237,低,0.006330,0.006460,3230,28,28s,3305714,3.15 MB,data/apple/images/018_3-2_2K_2048x1360_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
19,3:2,2K,2048x1360,26,211,237,中,0.006330,0.006460,3230,20,20s,3333084,3.18 MB,data/apple/images/019_3-2_2K_2048x1360_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
20,3:2,2K,2048x1360,53,211,264,高,0.006330,0.006596,3298,24,24s,3004238,2.87 MB,data/apple/images/020_3-2_2K_2048x1360_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style. High-resolution realistic still life photograph, clean composition, minimal shadows, crisp focus, subtle texture on the apple skin, white seamless background.",ok,
21,3:2,4K,3520x2336,38,450,488,自动,0.013500,0.013690,6845,39,39s,8209310,7.83 MB,data/apple/images/021_3-2_4K_3520x2336_auto.png,"A realistic photo style image of a single red apple on a white table, soft natural light, plain minimal background, clean composition, high detail, subtle shadows.",ok,
22,3:2,4K,3520x2336,26,450,476,低,0.013500,0.013630,6815,41,41s,8206020,7.83 MB,data/apple/images/022_3-2_4K_3520x2336_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
23,3:2,4K,3520x2336,26,450,476,中,0.013500,0.013630,6815,41,41s,8093423,7.72 MB,data/apple/images/023_3-2_4K_3520x2336_medium.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
24,3:2,4K,3520x2336,26,450,476,高,0.013500,0.013630,6815,39,39s,8236012,7.85 MB,data/apple/images/024_3-2_4K_3520x2336_high.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
25,2:3,1K,1024x1536,43,158,201,自动,0.004740,0.004956,2478,16,16s,2034538,1.94 MB,data/apple/images/025_2-3_1K_1024x1536_auto.png,"A single red apple sitting on a white table, soft natural light coming from the side, plain minimal background, realistic photo style, sharp focus, clean composition, high detail, natural colors",ok,
26,2:3,1K,1024x1536,26,158,184,低,0.004740,0.004870,2435,29,29s,1823529,1.74 MB,data/apple/images/026_2-3_1K_1024x1536_low.png,"A single red apple on a white table, soft natural light, plain background, realistic photo style.",ok,
27,2:3,1K,1024x1536,43,158,201,中,0.004740,0.004956,2478,16,16s,1878536,1.79 MB,data/apple/images/027_2-3_1K_1024x1536_medium.png,"A realistic photo style image of a single red apple placed on a white table, soft natural light, plain minimal background, clean composition, high detail, subtle shadows, studio-quality realism.",ok,
28,2:3,1K,1024x1536,34,1372,1406,高,0.041160,0.041330,20665,40,40s,2053386,1.96 MB,data/apple/images/028_2-3_1K_1024x1536_high.png,"A single red apple resting on a white table, soft natural light, plain minimal background, realistic photo style, high detail, clean composition.",ok,
